X,Y
-99.5811849628691,103711.81158897301
-100.0261345035145,105085.21210983631
-97.77097013760668,98244.30368958994
-97.3167591392972,96902.70955168517
-95.58636328198267,91904.33367120709
-95.03896410096037,90360.98188309549
-93.37023922438534,85763.77843478147
-93.41730052947345,85891.28793277439
-93.51803899215581,86164.60617773065
-92.28923911821002,82869.20770006643
-90.44825831201749,78087.0636173074
-89.25564488999281,75090.66487743353
-88.55256809978823,73361.57035521201
-87.3317346935472,70424.30236193398
-86.50409719198777,68477.33269262749
-86.68500180200945,68899.88271829057
-83.51604791315987,61740.56090251541
-83.39350286393125,61474.21613509636
-82.5454311191713,59652.89324443857
-80.79345457108674,56007.01306368197
-81.0583133343083,56548.55846033328
-80.35790799855197,55124.15678314743
-77.90436741032379,50317.19663494133
-75.38165768560712,45679.10756470859
-75.48442981812802,45862.154724012966
-75.71192776446007,46268.973706865894
-72.17489047810268,40204.92565200782
-73.79557364330653,42915.30082533432
-70.27334135203829,37173.81904661217
-68.99670365057432,35229.87592195311
-69.55382038198911,36069.23870643998
-68.56678432787629,34590.96715881535
-65.85452467818445,30731.17724606487
-66.11164903358788,31084.44572759877
-64.4923730634496,28904.617038556586
-65.34716680825065,30041.811198546602
-62.863497052799254,26821.474276052628
-64.27279553468969,28617.559343335182
-60.50359059492265,23983.33990556588
-58.885803121736146,22154.166403402694
-60.304421227830474,23752.97975360897
-58.27681618710277,21491.099174463292
-56.27091970665665,19404.268640418897
-56.598768064517735,19735.501327567912
-56.343840355429634,19477.65061595932
-54.0157548063752,17223.23695944318
-53.33604093156413,16597.905520235723
-51.82119242977196,15259.943716006504
-52.060336023739225,15466.09548041031
-50.52461609275709,14176.528426778796
-50.29928639282118,13993.770971937513
-49.265894190240765,13175.554718697016
-47.519691446774644,11863.513454548918
-47.429550335943155,11797.872164380096
-45.06941766770851,10171.370568762746
-45.38590647585499,10379.992120364586
-44.02750805808645,9506.443173478818
-43.38971625304003,9114.174820931255
-42.89728887150632,8818.80174663881
-41.11393866855941,7798.4995184821055
-39.03323892626595,6709.74450308896
-38.71354985407064,6552.758226955883
-38.58289302530868,6489.286890694496
-36.88908347874341,5704.746146606927
-36.11797617579821,5368.719715106479
-34.21778693233242,4594.167894476597
-34.417943514262284,4671.888675531918
-32.91300244537795,4107.81099058104
-32.47712668724383,3954.1175224430094
-30.23494489299148,3225.642986370613
-28.495591317833103,2723.142603548549
-28.971259469748926,2855.414617827235
-27.746919719862586,2523.044591589819
-27.978656695410642,2583.817120696407
-26.976913016454063,2328.09713062161
-24.717948534735985,1819.177101954288
-24.210239987469617,1716.297560544678
-21.912090965351897,1294.7165219086767
-23.653940950293816,1607.997120985086
-21.41589516568668,1213.1622569838019
-20.554759196576523,1080.4481006012331
-19.09616287528614,881.0253619685673
-16.38309124881221,577.9260454281804
-17.296757522588884,671.7087790600327
-14.705528169423486,427.04746881554956
-14.312940339950488,396.3248483497605
-15.94145689186695,535.3189944980516
-14.548086741960278,414.42916178363714
-10.524047369890905,176.2581993191921
-11.068216565413532,201.53118008457344
-10.371417654986999,169.46372532382773
-9.987767424449032,153.0904035101521
-8.817594884438316,108.82710672625679
-4.301214837211782,21.35286412150721
-6.394870920964521,48.64424719668125
-4.918265888123988,28.27412526780388
-3.040230004106097,9.47765978594465
-3.733635464901197,15.44552739444398
-3.750847263700415,15.740185088316036
-1.9991063502325832,3.156391784029278
-1.2441883293004867,0.7375602941617732
1.7223519881552196,5.344898987982142
2.334444374253727,4.956568522718519
3.505342996232363,3.369541291195986
3.965338818771586,2.5060609006312697
3.7356956750241093,3.1693894271957594
5.845245737729487,-1.1708229307029698
8.487762912051831,-20.835823180043537
8.188069259965992,-16.952069011621376
10.406808784033224,-57.54277837608121
10.683943745319812,-64.12475888702438
9.791974930975142,-44.110671288848486
12.308109477100587,-108.63705357545582
12.772175101360355,-123.78500132464578
13.371597107802335,-145.54132177393626
15.355867610518764,-240.81170163385192
14.16534269541721,-179.1478663875852
16.538005514028704,-314.24791312871383
19.3287262429775,-531.5327217275573
19.79334411196814,-575.0820269526573
19.17449276836419,-517.5599428916369
21.60509348739744,-771.5450512159202
23.730417701307612,-1053.9810996332244
24.80359195684305,-1216.0000930832307
23.654734579254587,-1042.998445284661
25.434353659280905,-1318.2470610530818
28.268500213323584,-1856.5401599361376
26.543999774686256,-1513.2213164066882
28.436920538954322,-1892.7040817459783
27.854620491487836,-1769.5862911381766
29.477188924921027,-2125.7351199127156
29.152744236832483,-2051.369195082607
31.820586384505887,-2711.930396444216
31.55275874830403,-2640.3000858632004
35.256596332808925,-3759.313413321593
35.65935506728493,-3897.429262101584
34.4039166743789,-3477.2995076614807
36.207500417223514,-4090.2964530777695
38.31440575103346,-4886.467647861482
38.73249786546869,-5056.059200630434
39.914095996168484,-5557.926587848433
41.513395056237016,-6291.091310460622
40.46789433081476,-5804.742754993893
42.32676454666819,-6686.31455399229
41.698357161135334,-6379.609089424378
46.06019859514952,-8706.485795296168
44.40160881274769,-7764.395621938831
46.30381786669667,-8851.094520867891
47.30652416644679,-9465.086737748818
48.8153150909048,-10440.08994631262
50.1243253765377,-11334.602062761665
52.018430769282006,-12717.654147025594
51.34784610038327,-12215.215093746494
54.249706493294255,-14492.89342094114
53.87561523780007,-14184.36758878276
54.88819834620325,-15029.03735741638
55.36836158501039,-15440.09328377939
57.06844958225655,-16953.633704125474
59.60985408784926,-19401.763142509964
58.37331983380041,-18181.882694825916
59.656136154546836,-19448.25990144753
61.07703638482903,-20918.02703264506
62.67207397601465,-22649.81386258943
64.84431497988496,-25158.54740071442
63.84539199551804,-23982.03243441818
64.47975478470939,-24724.49101558062
66.58002565724493,-27295.93717836686
66.51687163229462,-27216.237797153484
67.07678582708259,-27928.822955002703
68.03854500377739,-29180.828193964597
70.33506790269166,-32316.478304579683
72.06854531910665,-34831.25954578306
71.4375928244536,-33900.76921101749
75.06201496209857,-39472.73374697022
74.50714918825774,-38584.09358575495
75.34762135534356,-39935.322061025305
75.52495536843338,-40224.343814962725
76.36270423842626,-41608.53336675995
77.84939138661815,-44146.00467482839
80.95938711662768,-49785.2561753082
77.62385723102935,-43754.863724059556
81.4325335444388,-50681.80162291269
82.4978029174457,-52739.57583758095
82.79786218443952,-53329.30914930018
84.4890298925703,-56738.73719447239
83.4655582069546,-54657.93759086351
87.36542960890851,-62865.356698223935
85.97541169744683,-59853.98120251651
89.11749558815758,-66800.53369933952
89.26462862418852,-67138.36077183852
89.60452873956187,-67923.58366499215
90.62078206605545,-70308.80261569357
91.18242996137374,-71651.11767774173
92.08897918008685,-73853.34521198721
92.33098824583121,-74448.5722407105
94.81621509944681,-80741.4676054214
95.05811180910669,-81372.26424544353
96.64291383969545,-85588.5775206407
98.76293098011885,-91456.24078482288
98.56134316468115,-90887.33769953843
